ecoli_protein	b#	RPKM	piechart	archaea	protozoan	bacteria	actinobacteria	bacteroidetes	gammaproteobacteria	deltaproteobacteria	betaproteobacteria	alphaproteobacteria	clostridiales	leuconostocaceae	lactobacillaceae
tyrR	b1323	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
cirA	b2155	20.85	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	20.85	0	0	0	0	0	0	0
creA	b4397	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
rstB	b1609	3	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	3	0	0	0	0	0	0	0	0
cpxA	b3911	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
baeS	b2078	10.33	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	10.33	0	0
phoB	b0399	337.69	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	4.14	4.56	301.24	0	0	0	0	27.75	0	0
creB	b4398	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
rstA	b1608	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
yedW	b1969	73.38	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	73.38	0	0	0	0	0	0	0	0	0
baeR	b2079	15.95	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	11.67	0	0	0	0	0	0	4.28	0	0
cpxR	b3912	2.3	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	2.3	0	0	0	0	0	0	0	0	0
dmsA	b0894	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
cyoD	b0429	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
ynfF	b1588	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
ynfE	b1587	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
dmsB	b0895	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
ynfG	b1589	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
dmsC	b0896	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
ynfI	b1591	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
ynfH	b1590	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
mreB	b3251	187.25	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	39.84	0	112.65	21.13	0	0	2.63	11	0	0
add	b1623	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
gatY	b2096	1461.25	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	633.71	0	740.45	0	2.91	0	0	84.18	0	0
gatZ	b2095	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
malT	b3418	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
mreD	b3249	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
mreC	b3250	10	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	5.82	0	0	4.18	0	0	0	0	0	0
ibpB	b3686	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
ibpA	b3687	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
nuoC	b2286	122.38	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	43.92	0	78.46	0	0	0	0	0	0	0
nuoH	b2282	87.4	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	26.76	0	60.64	0	0	0	0	0	0	0
hyfG	b2487	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
hycE	b2721	2.54	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	2.54	0	0
nuoI	b2281	77.16	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	31.19	0	45.97	0	0	0	0	0	0	0
nuoB	b2287	89.77	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	21.71	0	68.06	0	0	0	0	0	0	0
hyfI	b2489	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
hycG	b2719	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
hycF	b2720	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
malK	b4035	49.14	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	2.31	0	0	26.73	0	5.24	12.66	2.21	0	0
lamB	b4036	759.12	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	759.12	0	0	0	0	0	0
ycjO	b1311	26.21	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	11.39	3.03	0	0	0	0	0	11.79	0	0
ycjP	b1312	68.98	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	12.64	15.75	0	0	0	0	0	40.59	0	0
ugpE	b3451	81.89	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	43.6	0	0	0	0	0	0	38.29	0	0
malG	b4032	98.31	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	19.24	0	0	72.71	0	0	0	6.36	0	0
malF	b4033	65.28	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	11.07	5.89	0	6.18	0	0	0	42.14	0	0
malE	b4034	353.4	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	105.58	0	0	243.51	0	0	0	4.31	0	0
malM	b4037	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
potG	b0855	43.37	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	6.9	0	19.56	16.91	0	0	0	0	0	0
yehX	b2129	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
cysM	b2421	4.97	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	4.97	0	0
yabJ	b0066	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
cysU	b2424	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
cysA	b2422	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
cysP	b2425	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
ynjD	b1756	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
cysW	b2423	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
rsuA	b2183	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
nusG	b3982	470.33	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	55.55	0	331.89	0	0	0	41.2	41.69	0	0
recN	b2616	23.02	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	3.27	0	16.46	0	0	0	0	3.29	0	0
kefA	b0465	4.1	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	4.1	0	0	0	0	0	0	0
